"File","Change","Regression","Detail"
"pdf_a-4\6.1 file structure\6.1.7 name objects\verapdf test suite 6-1-7-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.7 name objects\verapdf test suite 6-1-7-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.7 name objects\verapdf test suite 6-1-7-t01-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.7 name objects\verapdf test suite 6-1-7-t01-fail-d.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.7 name objects\verapdf test suite 6-1-7-t01-fail-e.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-d.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-e.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-f.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.8 indirect objects\verapdf test suite 6-1-8-t01-fail-g.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.9 inline image dictionaries\verapdf test suite 6-1-9-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.9 inline image dictionaries\verapdf test suite 6-1-9-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.9 inline image dictionaries\verapdf test suite 6-1-9-t01-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.1 file structure\6.1.9 inline image dictionaries\verapdf test suite 6-1-9-t01-fail-d.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.10 optional content\verapdf test suite 6-10-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.10 optional content\verapdf test suite 6-10-t01-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.10 optional content\verapdf test suite 6-10-t01-fail-d.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.10 optional content\verapdf test suite 6-10-t01-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.10 optional content\verapdf test suite 6-10-t01-pass-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.10 optional content\verapdf test suite 6-10-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.10 optional content\verapdf test suite 6-10-t02-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.11 use of alternate presentations and transitions\verapdf test suite 6-11-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.11 use of alternate presentations and transitions\verapdf test suite 6-11-t02-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.12 document requirements\verapdf test suite 6-12-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.2 graphics\6.2.10 fonts\6.2.10.3 composite fonts\6.2.10.3.1 general\verapdf test suite 6-2-10-3-1-t01-fail-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.2 graphics\6.2.10 fonts\6.2.10.3 composite fonts\6.2.10.3.1 general\verapdf test suite 6-2-10-3-1-t01-fail-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.2 graphics\6.2.10 fonts\6.2.10.3 composite fonts\6.2.10.3.1 general\verapdf test suite 6-2-10-3-1-t01-fail-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.2 graphics\6.2.10 fonts\6.2.10.3 composite fonts\6.2.10.3.1 general\verapdf test suite 6-2-10-3-1-t01-pass-a.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.2 graphics\6.2.10 fonts\6.2.10.3 composite fonts\6.2.10.3.1 general\verapdf test suite 6-2-10-3-1-t01-pass-b.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
"pdf_a-4\6.2 graphics\6.2.10 fonts\6.2.10.3 composite fonts\6.2.10.3.1 general\verapdf test suite 6-2-10-3-1-t01-pass-c.pdf","MISSING_AFTER","True","In baseline report but absent from after report (resave failed or file skipped)"
